33,쓰랄,Thrall_77,"<font color=""#00CED1"">Diamond</font>",16815,"<font color=""#000000"">45.17%</font>",26949,"<font color=""#000000"">44.26%</font>",29487,NASH,"<font color=""#CC9933"">Shin_Syoryuken</font>","<font color=""#000000"">2018-10-17</font>",●
34,잎,Cittadi,"<font color=""#00CED1"">Diamond</font>",16000,"<font color=""#000000"">52.77%</font>",1533,"<font color=""#000000"">44.19%</font>",6388,DICTATOR,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-15</font>",●
35,압도,Dominant_PS4,"<font color=""#00CED1"">Diamond</font>",15044,"<font color=""#0000FF"">65.28%</font>",625,"<font color=""#12B512"">61.47%</font>",3218,SAGAT,"<font color=""#CC9933"">Braveman</font>","<font color=""#000000"">2018-10-17</font>","<font color=""#3399FF"">●</font>"
36,에드랑꼬,JaebumPark,"<font color=""#00CED1"">Diamond</font>",14417,"<font color=""#12B512"">63.82%</font>",633,"<font color=""#000000"">47.9%</font>",3065,ED,"<font color=""#CC9933"">Psycho-Snatcher</font>","<font color=""#000000"">2018-10-16</font>",●
37,티버레이크,Tiberlake,"<font color=""#00CED1"">Diamond</font>",14075,"<font color=""#000000"">46.62%</font>",2711,"<font color=""#000000"">49.76%</font>",8434,BOXER,"<font color=""#CC9933"">Sakura</font>","<font color=""#000000"">2018-10-13</font>",●
38,민님,extremin,"<font color=""#00CED1"">Diamond</font>",14060,"<font color=""#000000"">50.56%</font>",10559,"<font color=""#000000"">52.95%</font>",21735,CAMMY,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-16</font>",●
39,벨거,Baninrok,"<font color=""#00CED1"">Diamond</font>",14039,"<font color=""#000000"">55.88%</font>",1378,"<font color=""#000000"">51.0%</font>",3239,CODY,"<font color=""#CC9933"">-Metro_City-</font>","<font color=""#000000"">2018-10-16</font>",●
40,코두리,DBsang-steam,"<font color=""#696969"">UltraPlatinum</font>",13897,"<font color=""#000000"">52.85%</font>",2212,"<font color=""#000000"">42.42%</font>",4734,FALKE,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-09-27</font>",●
41,,GuardJung,"<font color=""#696969"">UltraPlatinum</font>",13322,"<font color=""#000000"">48.83%</font>",6008,"<font color=""#000000"">44.63%</font>",8138,NASH,"<font color=""#CC9933"">Mental_Hospital</font>","<font color=""#000000"">2018-10-15</font>",●
42,,kor_bbom,"<font color=""#696969"">UltraPlatinum</font>",12811,"<font color=""#000000"">49.19%</font>",7931,"<font color=""#000000"">48.18%</font>",18516,RYU,"<font color=""#CC9933"">Ryu-Nation</font>","<font color=""#000000"">2018-10-17</font>",●
43,행인,Hang-In,"<font color=""#696969"">UltraPlatinum</font>",12541,"<font color=""#000000"">40.51%</font>",20695,"<font color=""#000000"">40.89%</font>",21753,RYU,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-16</font>",●
44,마사,isamix,"<font color=""#696969"">UltraPlatinum</font>",12327,"<font color=""#000000"">53.99%</font>",1906,"<font color=""#000000"">56.25%</font>",2992,KEN,"<font color=""#CC9933"">Sakura</font>","<font color=""#000000"">2018-10-13</font>","<font color=""#3399FF"">●</font>"
45,머쓸빠워,notpsycho,"<font color=""#696969"">SuperPlatinum</font>",10620,"<font color=""#12B512"">60.86%</font>",654,"<font color=""#000000"">48.23%</font>",3881,ZANGIEF,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>",●
46,,EXTRAUSER,"<font color=""#696969"">SuperPlatinum</font>",10615,"<font color=""#000000"">53.64%</font>",1579,"<font color=""#000000"">33.71%</font>",6019,RYU,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-17</font>",●
47,진수가,artheaven,"<font color=""#696969"">SuperPlatinum</font>",10537,"<font color=""#000000"">52.46%</font>",7251,"<font color=""#000000"">52.07%</font>",9243,KEN,"<font color=""#CC9933"">TeamDPS</font>","<font color=""#000000"">2018-10-17</font>",●
48,젤리샵,JellyShoP,"<font color=""#696969"">SuperPlatinum</font>",10352,"<font color=""#000000"">49.74%</font>",2272,"<font color=""#000000"">39.32%</font>",8396,CAMMY,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-13</font>",●
49,악철,akchul,"<font color=""#696969"">SuperPlatinum</font>",10035,"<font color=""#000000"">53.18%</font>",1463,"<font color=""#000000"">52.77%</font>",1861,URIEN,"<font color=""#CC9933"">Braveman</font>","<font color=""#000000"">2018-10-17</font>","<font color=""#3399FF"">●</font>"
50,,Panzerdivision,"<font color=""#696969"">SuperPlatinum</font>",10007,"<font color=""#000000"">56.48%</font>",733,"<font color=""#000000"">49.9%</font>",9567,BIRDIE,"<font color=""#CC9933"">Haki-Kyaku</font>","<font color=""#000000"">2018-10-16</font>","<font color=""#3399FF"">●</font>"
51,테시스,Tecith,"<font color=""#696969"">Platinum</font>",9597,"<font color=""#000000"">50.40%</font>",2994,"<font color=""#000000"">44.44%</font>",5425,CAMMY,"<font color=""#CC9933""></font>","<font color=""#000000"">2018-10-14</font>",●
