#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
100,,Kanie_SDM,SuperBronze,1176,45.57%,983,42.36%,1400,IBUKI,,2018-09-08,●
101,애미야,Emiyamulzomdao,SuperBronze,1141,36.42%,173,30.10%,937,IBUKI,Girl_character,2018-10-05,●
102,유백,youbaek,SuperBronze,1050,51.19%,84,37.57%,535,CAMMY,,2018-09-30,●
103,발닦고자라,Balttako_Zara,Bronze,901,34.29%,210,36.68%,379,IBUKI,,2018-09-14,●
104,쌍환타,5Highnoon,Bronze,600,45.24%,42,35.85%,53,BIRDIE,Shin_Syoryuken,2018-10-05,●
105,제로텐,Zero_ten,Rookie,372,31.09%,119,32.23%,121,NASH,,2018-10-03,●
106,맥가츄,McKachu,Rookie,120,50%,6,50%,6,KEN,Shin_Syoryuken,2018-10-05,●
107,머쓸빠워,notpsycho,Rookie,0,0%,0,45.38%,2768,ZANGIEF,,2018-10-06,●
108,스린이,js_sick,Rookie,0,0.00%,7,5.56%,18,BIRDIE,,2018-09-06,●
109,스팀입문자,nanahistory,Rookie,0,0%,0,0.00%,3,CAMMY,,2018-09-23,●
110,시아,Feelingit,Rookie,0,0%,0,26.32%,19,KEN,,2018-08-22,●
111,진준화,0ovwwvo0,Rookie,0,18.75%,16,19.75%,81,BOXER,,2018-10-06,●
